Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
265,Anzor Mekvabishvili,MF,Georgia,22,2001,3,2,188,2.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
266,Memphis,"FW,MF",Netherlands,29,1994,6,6,457,5.1,1,1,2,1,0,0,0,0,2.0,2.0,1.2,3.1,6,13,30,0.20,0.20,0.39,0.20,0.39,0.39,0.23,0.62,0.39,0.62
267,Nuno Mendes,DF,Portugal,21,2002,4,4,419,4.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,31,25,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
268,Mikel Merino,"MF,FW",Spain,27,1996,7,1,182,2.0,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,2,17,13,0.49,0.00,0.49,0.49,0.49,0.35,0.26,0.61,0.35,0.61
269,Valentin Mihaila,MF,Romania,23,2000,3,1,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
270,Srđan Mijailović,DF,Serbia,30,1993,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
271,Georges Mikautadze,FW,Georgia,23,2000,4,4,345,3.8,3,1,4,1,2,2,0,0,2.3,0.7,0.5,1.2,4,7,16,0.78,0.26,1.04,0.26,0.52,0.59,0.13,0.71,0.18,0.30
272,Nikola Milenković,DF,Serbia,26,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
273,Sergej Milinković-Savić,MF,Serbia,28,1995,3,1,121,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,7,7,0.00,0.00,0.00,0.00,0.00,0.18,0.05,0.23,0.18,0.23
274,Mario Mitaj,DF,Albania,20,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
