right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
210,Randal Kolo Muani,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-219,1998,2.2,0.8,3,1,33.3,1.34,0.45,0,0,0.33,0,,+0.2,1,1.00,10.8,+0.2,,https://fbref.com/en/players/c0b3669f/matchlogs/2024/summary/Randal-Kolo-Muani-Match-Logs,0.8,0.25,
211,Yukhym Konoplia,https://fbref.com/en/players/aee634bf/Yukhym-Konoplia,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,24-320,1999,0.8,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/aee634bf/matchlogs/2024/summary/Yukhym-Konoplia-Match-Logs,0.0,,
212,Ezri Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-262,1997,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/0313a347/matchlogs/2024/summary/Ezri-Konsa-Match-Logs,0.0,,
213,Filip Kostić,https://fbref.com/en/players/b1cd37e6/Filip-Kostic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,31-253,1992,0.5,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/b1cd37e6/matchlogs/2024/summary/Filip-Kostic-Match-Logs,0.0,,
214,Jules Koundé,https://fbref.com/en/players/4d1666ff/Jules-Kounde,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-242,1998,6.3,0,1,0.16,0.2,0.00,,0,0.00,,0,0,0,0.2,0.0,,-0.2,-0.2,https://fbref.com/en/players/4d1666ff/matchlogs/2024/summary/Jules-Kounde-Match-Logs,,14.9,0.15
215,Mateo Kovačić,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,30-066,1994,2.5,0,6,3,50.0,2.42,1.21,0.00,0.00,20.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,https://fbref.com/en/players/79c0821a/matchlogs/2024/summary/Mateo-Kovacic-Match-Logs,,,
216,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,GK,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,0.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/summary/Matej-Kovar-Match-Logs,0.0,,
217,Andrej Kramarić,https://fbref.com/en/players/603cb947/Andrej-Kramaric,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,33-022,1991,2.7,0.7,4,2,50.0,1.48,0.74,0,0,0.25,0,,+0.3,1,0.50,16.3,+0.3,,https://fbref.com/en/players/603cb947/matchlogs/2024/summary/Andrej-Kramaric-Match-Logs,0.7,0.19,
218,Ladislav Krejčí,https://fbref.com/en/players/5b5c2228/Ladislav-Krejci,DF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-082,1999,3.0,0,5,1,20.0,1.67,0.33,0.00,0.00,15.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,https://fbref.com/en/players/5b5c2228/matchlogs/2024/summary/Ladislav-Krejci-Match-Logs,,,
219,Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,34-189,1990,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,26.0,0,0,,0.2,1,0.2,-0.2,-0.2,https://fbref.com/en/players/6ce1f46f/matchlogs/2024/summary/Toni-Kroos-Match-Logs,0.06,,
220,Jan Kuchta,https://fbref.com/en/players/4bce9c16/Jan-Kuchta,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,27-185,1997,1.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/4bce9c16/matchlogs/2024/summary/Jan-Kuchta-Match-Logs,0.0,,
221,Juraj Kucka,https://fbref.com/en/players/5aaef9ef/Juraj-Kucka,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,37-136,1987,3.9,0,8,2,25.0,2.06,0.51,0.00,0.00,17.8,0,0,,0.4,1,0.4,-0.4,-0.4,https://fbref.com/en/players/5aaef9ef/matchlogs/2024/summary/Juraj-Kucka-Match-Logs,0.05,,
222,Jasmin Kurtić,https://fbref.com/en/players/144607cc/Jasmin-Kurtic,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,35-183,1989,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/144607cc/matchlogs/2024/summary/Jasmin-Kurtic-Match-Logs,0.0,,
223,Khvicha Kvaratskhelia,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-150,2001,3.8,1.0,6,2,33.3,1.58,0.53,0,0,0.17,0,0.0,0.0,1,0.50,24.2,,,https://fbref.com/en/players/dea88efd/matchlogs/2024/summary/Khvicha-Kvaratskhelia-Match-Logs,1.0,0.17,
224,Nika Kvekveskiri,https://fbref.com/en/players/a5f35865/Nika-Kvekveskiri,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,32-043,1992,0.1,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/a5f35865/matchlogs/2024/summary/Nika-Kvekveskiri-Match-Logs,0.0,,
225,Giorgi Kvilitaia,https://fbref.com/en/players/c758cdaf/Giorgi-Kvilitaia,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,30-284,1993,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/c758cdaf/matchlogs/2024/summary/Giorgi-Kvilitaia-Match-Logs,0.0,,
226,Solomon Kvirkvelia,https://fbref.com/en/players/19e4dca5/Solomon-Kvirkvelia,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,32-156,1992,2.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/19e4dca5/matchlogs/2024/summary/Solomon-Kvirkvelia-Match-Logs,0,,
227,Qazim Laçi,https://fbref.com/en/players/eb0db257/Qazim-Laci,"MF,FW",al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,28-174,1996,1.8,0.3,1,1,0.55,0.55,1.00,0,0,0.3,0,,+0.7,1,,,+0.7,,https://fbref.com/en/players/eb0db257/matchlogs/2024/summary/Qazim-Laci-Match-Logs,,100.0,1.00
228,Konrad Laimer,https://fbref.com/en/players/c1b7847c/Konrad-Laimer,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,27-045,1997,3.0,0,2,0.67,13.4,0.5,0.26,0,0.0,,0.00,0.00,0,0.5,,0,-0.5,-0.5,https://fbref.com/en/players/c1b7847c/matchlogs/2024/summary/Konrad-Laimer-Match-Logs,0,,
229,Ádám Lang,https://fbref.com/en/players/8614496d/Adam-Lang,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,31-176,1993,0.5,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/8614496d/matchlogs/2024/summary/Adam-Lang-Match-Logs,0.0,,
230,Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,30-045,1994,4.8,0,4,1,25.0,0.83,0.21,0.00,0.00,18.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,https://fbref.com/en/players/119b9a8e/matchlogs/2024/summary/Aymeric-Laporte-Match-Logs,,,
231,Robin Le Normand,https://fbref.com/en/players/9a64e67e/Robin-Le-Normand,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-243,1996,4.0,0,2,0.50,8.3,0.2,0.11,0,0.0,,0.00,0.00,0,0.2,,0,-0.2,-0.2,https://fbref.com/en/players/9a64e67e/matchlogs/2024/summary/Robin-Le-Normand-Match-Logs,0,,
232,Rafael Leão,https://fbref.com/en/players/20730eae/Rafael-Leao,FW,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-031,1999,3.2,0,3,0.94,13.5,0.2,0.07,0,0.0,,0.00,0.00,0,0.2,,0,-0.2,-0.2,https://fbref.com/en/players/20730eae/matchlogs/2024/summary/Rafael-Leao-Match-Logs,0,,
233,Robert Lewandowski,https://fbref.com/en/players/8d78e732/Robert-Lewandowski,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,35-325,1988,1.3,1.0,4,24.4,1,1,0.2,0,0.0,0.04,0.00,0,0.0,1,0.00,,-0.2,,https://fbref.com/en/players/8d78e732/matchlogs/2024/summary/Robert-Lewandowski-Match-Logs,,2.98,
234,Philipp Lienhart,https://fbref.com/en/players/302527b2/Philipp-Lienhart,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,28-000,1996,2.4,0,2,0.84,11.3,0.3,0.13,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/302527b2/matchlogs/2024/summary/Philipp-Lienhart-Match-Logs,0,,
235,Ondřej Lingr,https://fbref.com/en/players/66a7effe/Ondrej-Lingr,"MF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-278,1998,0.9,0,5,1,20.0,10.9,0.5,0.00,0.00,0.09,0,0,0,0.5,,,-0.5,-0.5,https://fbref.com/en/players/66a7effe/matchlogs/2024/summary/Ondrej-Lingr-Match-Logs,,5.42,1.08
236,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic,GK,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-184,1995,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/58f077c0/matchlogs/2024/summary/Dominik-Livakovic-Match-Logs,0,,
237,Stanislav Lobotka,https://fbref.com/en/players/e1cbb531/Stanislav-Lobotka,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-229,1994,4.3,0,1,1,0.23,0.23,,0.00,0,,0,0,0.0,0.0,0.00,0.0,,,https://fbref.com/en/players/e1cbb531/matchlogs/2024/summary/Stanislav-Lobotka-Match-Logs,0.0,100.0,31.1
238,Saba Lobzhanidze,https://fbref.com/en/players/84d6ce13/Saba-Lobzhanidze,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,29-206,1994,0.1,0,1,0.2,,0.00,0.00,0,0,,0,0,,0.2,0.0,,-0.2,-0.2,https://fbref.com/en/players/84d6ce13/matchlogs/2024/summary/Saba-Lobzhanidze-Match-Logs,,10.00,13.9
239,Luka Lochoshvili,https://fbref.com/en/players/c8ad0857/Luka-Lochoshvili,"DF,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,26-043,1998,1.9,0,1,0.53,0.1,0.00,,0,0.00,,0,0,0,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/c8ad0857/matchlogs/2024/summary/Luka-Lochoshvili-Match-Logs,,10.0,0.06
240,Fermin López,https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez,MF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,21-061,2003,0.3,0,2,26.8,0.1,0.03,,0,0.0,,0.00,0,0,0.1,0.00,0,-0.1,-0.1,https://fbref.com/en/players/c1fe5f0b/matchlogs/2024/summary/Fermin-Lopez-Match-Logs,,6.21,
241,Romelu Lukaku,https://fbref.com/en/players/5eae500a/Romelu-Lukaku,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,31-059,1993,4.0,0,11,8,72.7,2.76,2.01,0.00,0.00,11.3,0,0,0,1.7,1.7,0.15,-1.7,-1.7,https://fbref.com/en/players/5eae500a/matchlogs/2024/summary/Romelu-Lukaku-Match-Logs,,,
242,Dodi Lukebakio,https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,"FW,DF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-291,1997,0.7,0,3,1,33.3,15.2,0.2,0.00,0.00,0.08,0,0,0,0.2,,,-0.2,-0.2,https://fbref.com/en/players/0c61c77c/matchlogs/2024/summary/Dodi-Lukebakio-Match-Logs,,4.15,1.38
243,Saša Lukić,https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,27-333,1996,2.3,0,1,0.43,0.1,0.00,,0,0.00,,0,0,0,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/c6e8cf1f/matchlogs/2024/summary/Sasa-Lukic-Match-Logs,,17.3,0.08
244,Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,GK,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-151,1999,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/3061e1ec/matchlogs/2024/summary/Andriy-Lunin-Match-Logs,0.0,,
245,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,GK,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-008,1995,6.3,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/fcb38f57/matchlogs/2024/summary/Mike-Maignan-Match-Logs,0,,
246,Kobbie Mainoo,https://fbref.com/en/players/c6220452/Kobbie-Mainoo,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,19-083,2005,3.3,0,5,1.51,20.2,0.3,0.06,0,0.0,,0.00,0.00,0,0.3,,0,-0.3,-0.3,https://fbref.com/en/players/c6220452/matchlogs/2024/summary/Kobbie-Mainoo-Match-Logs,0,,
247,Lovro Majer,https://fbref.com/en/players/fc46aab1/Lovro-Majer,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-176,1998,1.6,0,2,9.6,0.2,0.09,,0,0.0,,0.00,0,0,0.2,0.00,0,-0.2,-0.2,https://fbref.com/en/players/fc46aab1/matchlogs/2024/summary/Lovro-Majer-Match-Logs,,1.23,
248,Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-184,1999,2.1,1.9,6,2,33.3,2.84,0.95,0,0,0.33,0,,+0.1,2,1.00,11.5,+0.1,,https://fbref.com/en/players/116c35df/matchlogs/2024/summary/Donyell-Malen-Match-Logs,1.9,0.31,
249,Ruslan Malinovskyi,https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,31-068,1993,0.4,0,1,0.1,,0.00,0.00,0,0,,0,0,,0.1,0.0,,-0.1,-0.1,https://fbref.com/en/players/48d5bd33/matchlogs/2024/summary/Ruslan-Malinovskyi-Match-Logs,,2.57,24.1
250,Giorgi Mamardashvili,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,GK,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-286,2000,4.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/d4b73232/matchlogs/2024/summary/Giorgi-Mamardashvili-Match-Logs,0,,
251,Dennis Man,https://fbref.com/en/players/2079b3cc/Dennis-Man,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-320,1998,3.0,0,6,3,50.0,2.03,1.02,0.00,0.00,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,https://fbref.com/en/players/2079b3cc/matchlogs/2024/summary/Dennis-Man-Match-Logs,,,
252,Rey Manaj,https://fbref.com/en/players/7703afb6/Rey-Manaj,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,27-138,1997,1.7,0,3,1,33.3,1.73,0.58,0.00,0.00,10.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4,https://fbref.com/en/players/7703afb6/matchlogs/2024/summary/Rey-Manaj-Match-Logs,,,
253,Gianluca Mancini,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,28-085,1996,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/5aa53281/matchlogs/2024/summary/Gianluca-Mancini-Match-Logs,0.0,,
254,Orel Mangala,https://fbref.com/en/players/a572e291/Orel-Mangala,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,26-115,1998,1.5,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/a572e291/matchlogs/2024/summary/Orel-Mangala-Match-Logs,0.0,,
255,Marius Marin,https://fbref.com/en/players/a5106847/Marius-Marin,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-316,1998,3.4,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/a5106847/matchlogs/2024/summary/Marius-Marin-Match-Logs,0,,
256,Răzvan Marin,https://fbref.com/en/players/7fac99d4/Razvan-Marin,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,28-049,1996,3.9,0.9,5,2,40.0,1.27,0.51,0.03,,0.20,0.1,1,+1.1,2,0.50,31.9,+0.9,,https://fbref.com/en/players/7fac99d4/matchlogs/2024/summary/Razvan-Marin-Match-Logs,1,1,
257,Ádám Martin,https://fbref.com/en/players/9b8f61bd/Adam-Martin,"FW,DF",hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-248,1994,0.5,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/9b8f61bd/matchlogs/2024/summary/Adam-Martin-Match-Logs,0.0,,
258,Mykola Matviyenko,https://fbref.com/en/players/1adcf39e/Mykola-Matviyenko,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,28-070,1996,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/1adcf39e/matchlogs/2024/summary/Mykola-Matviyenko-Match-Logs,0,,
259,Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,25-204,1998,5.2,2.9,23,8,34.8,4.46,1.55,0.00,0.00,17.4,,0.09,,1,1,1,-1.9,-2.1,https://fbref.com/en/players/42fd9c7f/matchlogs/2024/summary/Kylian-Mbappe-Match-Logs,1,2.1,
260,John McGinn,https://fbref.com/en/players/90f91999/John-McGinn,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-267,1994,2.6,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/90f91999/matchlogs/2024/summary/John-McGinn-Match-Logs,0,,
261,Callum McGregor,https://fbref.com/en/players/6800f515/Callum-McGregor,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,31-027,1993,2.7,0,3,1.10,20.2,0.1,0.05,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/6800f515/matchlogs/2024/summary/Callum-McGregor-Match-Logs,0,,
262,Scott McKenna,https://fbref.com/en/players/4e5a4cbc/Scott-McKenna,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-242,1996,1.5,0,2,14.2,0.02,,0.0,0,0.0,,0.00,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/4e5a4cbc/matchlogs/2024/summary/Scott-McKenna-Match-Logs,0.0,1.34,
263,Kenny McLean,https://fbref.com/en/players/471f16b3/Kenny-McLean,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-185,1992,0.5,0,1,1,,,0.01,0.00,0,,0,0,0.0,0.0,0.00,0.0,,,https://fbref.com/en/players/471f16b3/matchlogs/2024/summary/Kenny-McLean-Match-Logs,0.0,100.0,2.05
264,Scott McTominay,https://fbref.com/en/players/d93c2511/Scott-McTominay,MF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-216,1996,3.0,0.3,4,1,25.0,1.33,0.33,0,0,0.25,0,,+0.7,1,1.00,14.2,+0.7,,https://fbref.com/en/players/d93c2511/matchlogs/2024/summary/Scott-McTominay-Match-Logs,0.3,0.07,
265,Anzor Mekvabishvili,https://fbref.com/en/players/6a7cd360/Anzor-Mekvabishvili,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-036,2001,2.1,0,2,1,50.0,0.96,0.48,0.00,0.00,25.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,https://fbref.com/en/players/6a7cd360/matchlogs/2024/summary/Anzor-Mekvabishvili-Match-Logs,,,
266,Memphis,https://fbref.com/en/players/8f696594/Memphis,"FW,MF",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,30-149,1994,5.1,2.0,17,3,17.6,3.35,0.59,0,0,0.06,,0.12,,1,0.33,16.8,-1.0,-1.0,https://fbref.com/en/players/8f696594/matchlogs/2024/summary/Memphis-Match-Logs,2,2.0,
267,Nuno Mendes,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,22-022,2002,4.7,0,3,2,66.7,0.64,0.43,0.00,0.00,19.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,https://fbref.com/en/players/f20e4cc9/matchlogs/2024/summary/Nuno-Mendes-Match-Logs,,,
268,Mikel Merino,https://fbref.com/en/players/d080ed5e/Mikel-Merino,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-019,1996,2.0,0.6,3,2,66.7,1.50,1.00,0,0,0.33,0,,+0.4,1,0.50,10.7,+0.4,,https://fbref.com/en/players/d080ed5e/matchlogs/2024/summary/Mikel-Merino-Match-Logs,0.6,0.20,
269,Valentin Mihaila,https://fbref.com/en/players/81a4c239/Valentin-Mihaila,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,24-160,2000,1.3,0,4,21.5,0.1,0.03,,0,0.0,,0.00,0,0,0.1,0.00,0,-0.1,-0.1,https://fbref.com/en/players/81a4c239/matchlogs/2024/summary/Valentin-Mihaila-Match-Logs,,3.13,
270,Srđan Mijailović,https://fbref.com/en/players/175bef1f/Srdjan-Mijailovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,30-244,1993,0.8,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/175bef1f/matchlogs/2024/summary/Srdjan-Mijailovic-Match-Logs,0.0,,
271,Georges Mikautadze,https://fbref.com/en/players/4788cb6b/Georges-Mikautadze,FW,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-254,2000,3.8,2.3,4,1,25.0,1.04,0.26,0,,0.25,0.17,0.7,+0.7,3,1.00,19.9,+0.3,,https://fbref.com/en/players/4788cb6b/matchlogs/2024/summary/Georges-Mikautadze-Match-Logs,2,2,
272,Nikola Milenković,https://fbref.com/en/players/bee704fc/Nikola-Milenkovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-273,1997,3.0,0,,,,,0.0,0,0,0.0,0.00,0.00,0,0.0,,0,0.0,,https://fbref.com/en/players/bee704fc/matchlogs/2024/summary/Nikola-Milenkovic-Match-Logs,0,,
273,Sergej Milinković-Savić,https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-135,1995,1.3,0,3,1,33.3,19.1,0.2,0.00,0.00,0.08,0,0,0,0.2,,,-0.2,-0.2,https://fbref.com/en/players/4e6dbac4/matchlogs/2024/summary/Sergej-Milinkovic-Savic-Match-Logs,,2.23,0.74
274,Mario Mitaj,https://fbref.com/en/players/0bf123b6/Mario-Mitaj,DF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-340,2003,3.0,0,1,0.33,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/0bf123b6/matchlogs/2024/summary/Mario-Mitaj-Match-Logs,0.0,22.2,0.04
275,Aleksandar Mitrović,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,FW,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,29-299,1994,2.7,0,10,2,20.0,3.75,0.75,0.00,0.00,10.9,0,0,0,1.2,1.2,0.12,-1.2,-1.2,https://fbref.com/en/players/3925dbd6/matchlogs/2024/summary/Aleksandar-Mitrovic-Match-Logs,,,
276,Maximilian Mittelstädt,https://fbref.com/en/players/88d4144a/Maximilian-Mittelstadt,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,27-115,1997,3.4,0,5,1.48,22.2,0.1,0.03,0,0.0,,0.00,0.00,0,0.1,,0,-0.1,-0.1,https://fbref.com/en/players/88d4144a/matchlogs/2024/summary/Maximilian-Mittelstadt-Match-Logs,0,,
277,Filip Mladenović,https://fbref.com/en/players/a3eabee0/Filip-Mladenovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,32-331,1991,1.2,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/a3eabee0/matchlogs/2024/summary/Filip-Mladenovic-Match-Logs,0.0,,
278,Jan Mlakar,https://fbref.com/en/players/44d9bd5e/Jan-Mlakar,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-262,1998,3.3,0,2,1,50.0,0.61,0.31,0.00,0.00,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,https://fbref.com/en/players/44d9bd5e/matchlogs/2024/summary/Jan-Mlakar-Match-Logs,,,
279,Jakub Moder,https://fbref.com/en/players/f230bc30/Jakub-Moder,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-095,1999,2.0,0,4,1,25.0,2.00,0.50,0.00,0.00,19.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,https://fbref.com/en/players/f230bc30/matchlogs/2024/summary/Jakub-Moder-Match-Logs,,,
