right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
476,Nicolas Seiwald,https://fbref.com/en/players/28c6e925/Nicolas-Seiwald,MF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-068,2001,0,6.9,0,4,360,https://fbref.com/en/players/28c6e925/matchlogs/2024/summary/Nicolas-Seiwald-Match-Logs,90,100.0,4.0,4,90,,1.50,4,7,,,+1,6,+0.17,+0.7,+0.25,6.3,,,,,
477,Matz Sels,https://fbref.com/en/players/834b5c4c/Matz-Sels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-136,1992,0,0,0,0,4,https://fbref.com/en/players/834b5c4c/matchlogs/2024/summary/Matz-Sels-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
478,Nélson Semedo,https://fbref.com/en/players/d04b94db/Nelson-Semedo,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-238,1993,0,,0,5,100,https://fbref.com/en/players/d04b94db/matchlogs/2024/summary/Nelson-Semedo-Match-Logs,20,1.1,1,5,0.6,0,3.2,,,+3.07,+3.55,+1,,19.6,20,+2.6,,0,,+0.68,1.60,+0.90
479,Benjamin Šeško,https://fbref.com/en/players/3260690c/Benjamin-Sesko,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,21-041,2003,0,3.2,0,4,358,https://fbref.com/en/players/3260690c/matchlogs/2024/summary/Benjamin-Sesko-Match-Logs,90,91.8,4.0,4,90,,1.00,1,2,-2.5,-0.67,+1,1,-0.08,+3.06,+0.25,5.6,,,,,
480,Petr Ševčík,https://fbref.com/en/players/d4232ba9/Petr-Sevcik,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,30-068,1994,0,,0,2,22,https://fbref.com/en/players/d4232ba9/matchlogs/2024/summary/Petr-Sevcik-Match-Logs,11,0.2,1,2,1,0,0.3,0.9,,-1,-0.6,-3.09,,8.1,11,,-4.09,,-3.73,-2.60,0.50,
481,Stephan El Shaarawy,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,31-258,1992,0,0.0,0,1,45,https://fbref.com/en/players/d3aaad90/matchlogs/2024/summary/Stephan-El-Shaarawy-Match-Logs,45,0.5,3,1,1,0,,1.0,,-1,-0.9,-1.72,,12.5,45,0.00,-2.00,,-1.71,-1.85,,
482,Lawrence Shankland,https://fbref.com/en/players/63b1a176/Lawrence-Shankland,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-336,1995,0,,0,3,25,https://fbref.com/en/players/63b1a176/matchlogs/2024/summary/Lawrence-Shankland-Match-Logs,8,0.3,1,3,2,0,0.2,0.9,,-1,-0.7,-1.47,,9.3,8,,-3.60,,-2.13,-2.49,0.33,
483,Mykola Shaparenko,https://fbref.com/en/players/17e3e467/Mykola-Shaparenko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-281,1998,0,2.0,0,3,220,https://fbref.com/en/players/17e3e467/matchlogs/2024/summary/Mykola-Shaparenko-Match-Logs,73,81.5,2.4,3,73,0,1.33,2,4,-2,-0.82,-1.38,2.4,-0.82,-0.5,-0.18,,,,,,
484,Xherdan Shaqiri,https://fbref.com/en/players/6421ec64/Xherdan-Shaqiri,"MF,FW",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-275,1991,12,1.2,0,2,71,https://fbref.com/en/players/6421ec64/matchlogs/2024/summary/Xherdan-Shaqiri-Match-Logs,36,0.8,3,1,1,0,1,1,0.2,,,+0.9,,14.8,59,,-0.88,,,+1.22,1.00,+1.42
485,Luke Shaw,https://fbref.com/en/players/9c94165b/Luke-Shaw,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-365,1995,0,,0,2,88,https://fbref.com/en/players/9c94165b/matchlogs/2024/summary/Luke-Shaw-Match-Logs,44,1.0,3,2,2,0,0.5,0.8,,-0.3,,+2,,14.7,44,,-0.48,,-0.57,+1.87,2.00,+2.05
486,Levan Shengelia,https://fbref.com/en/players/d30d3eaf/Levan-Shengelia,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,28-258,1995,0,0,0,0,4,https://fbref.com/en/players/d30d3eaf/matchlogs/2024/summary/Levan-Shengelia-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
487,Vincent Sierro,https://fbref.com/en/players/92ffb8f9/Vincent-Sierro,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-277,1995,0,,0,4,38,https://fbref.com/en/players/92ffb8f9/matchlogs/2024/summary/Vincent-Sierro-Match-Logs,10,0.4,1,4,1,0,1.2,0.3,,+2.26,+2.44,+1,,7.9,10,+1.0,,,,+1.76,2.00,+2.37
488,Gabriel Sigua,https://fbref.com/en/players/5547662b/Gabriel-Sigua,MF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,19-011,2005,0,0,0,0,4,https://fbref.com/en/players/5547662b/matchlogs/2024/summary/Gabriel-Sigua-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
489,António Silva,https://fbref.com/en/players/8f0435c7/Antonio-Silva,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,20-255,2003,8,1.0,0,2,73,https://fbref.com/en/players/8f0435c7/matchlogs/2024/summary/Antonio-Silva-Match-Logs,37,0.8,3,1,2,0,1,1.6,,-2,-0.6,-1.84,,14.3,65,,-2.47,,-3.29,-0.69,1.50,
490,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-336,1994,0,7.5,,4,420,https://fbref.com/en/players/3eb22ec9/matchlogs/2024/summary/Bernardo-Silva-Match-Logs,105,82.4,4.7,4,105,,2.00,4,1,+0.96,+1.17,+4,5,+4.7,+2.86,+0.86,1,,2.8,,,
491,Unai Simón,https://fbref.com/en/players/5dcf3e90/Unai-Simon,GK,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-030,1997,0,9.4,,5,480,https://fbref.com/en/players/5dcf3e90/matchlogs/2024/summary/Unai-Simon-Match-Logs,96,84.2,5.3,5,96,,3.00,5,1,-0.03,+0.74,+9,12,+3.7,+0.69,+1.69,3,,5.8,,,
492,Xavi Simons,https://fbref.com/en/players/da4d670f/Xavi-Simons,"MF,FW",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-081,2003,6.8,1.67,0,6,454,https://fbref.com/en/players/da4d670f/matchlogs/2024/summary/Xavi-Simons-Match-Logs,76,84.1,5.0,5,80,,1,1,56,+0.69,+0.37,+3,9,+1.9,+0.59,+0.59,6,,5.0,,,
493,Michał Skóraś,https://fbref.com/en/players/5a80aea3/Michal-Skoras,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-147,2000,0,,0,1,23,https://fbref.com/en/players/5a80aea3/matchlogs/2024/summary/Michal-Skoras-Match-Logs,23,0.3,2,1,1,0,0.8,0.2,,+3.33,+2.45,+1,,8.5,23,+0.6,,,,+5.37,1.00,+3.91
494,Łukasz Skorupski,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,GK,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,33-067,1991,0,,0,1,90,https://fbref.com/en/players/ab4449d6/matchlogs/2024/summary/Lukasz-Skorupski-Match-Logs,90,1.0,1,1,2,,1.2,1,1,-1.1,,,2.3,33.3,90,,-1.13,,-0.80,,1.00,+1.50
495,Andreas Skov Olsen,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-195,1999,27,1.5,0,3,122,https://fbref.com/en/players/c50cee19/matchlogs/2024/summary/Andreas-Skov-Olsen-Match-Logs,41,1.4,1,1,2,0,2,2.4,,-2,-0.8,-0.76,,33.9,68,,-1.48,,-1.48,-0.62,0.67,
496,Milan Škriniar,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-151,1995,0,4.4,0,4,390,https://fbref.com/en/players/30f5ffa9/matchlogs/2024/summary/Milan-Skriniar-Match-Logs,98,100.0,4.3,4,98,,1.00,4,4,-1,-0.23,,5,-1.4,-0.34,-0.34,5.8,,,,,
497,Bartosz Slisz,https://fbref.com/en/players/7ee64741/Bartosz-Slisz,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-104,1999,36,2.4,0,2,110,https://fbref.com/en/players/7ee64741/matchlogs/2024/summary/Bartosz-Slisz-Match-Logs,55,1.2,1,1,1,,1,3,1.1,-2,,+1.3,,40.7,74,0.00,-1.64,,-1.07,+2.80,,+1.06
498,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,GK,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,35-207,1988,0,6.7,0,5,480,https://fbref.com/en/players/420c18a1/matchlogs/2024/summary/Yann-Sommer-Match-Logs,96,100.0,5.3,5,96,,1.80,5,8,,+0.37,+4,4,+0.37,+1.8,+0.75,4.9,,,,,
499,Deian Sorescu,https://fbref.com/en/players/15e1f59b/Deian-Sorescu,"MF,DF",ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-317,1997,0,,0,2,34,https://fbref.com/en/players/15e1f59b/matchlogs/2024/summary/Deian-Sorescu-Match-Logs,17,0.4,2,2,0.1,0,0.1,0.0,,,,,,9.4,17,,-0.07,0,,+0.65,0.50,+0.55
500,Borna Sosa,https://fbref.com/en/players/af0d79a9/Borna-Sosa,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-172,1998,0,,0,1,7,https://fbref.com/en/players/af0d79a9/matchlogs/2024/summary/Borna-Sosa-Match-Logs,7,0.1,2,1,1,0,0.2,0.5,,-1,-0.2,-3.72,,2.6,7,,-12.86,,-12.17,-3.18,1.00,
501,Tomáš Souček,https://fbref.com/en/players/6613c819/Tomas-Soucek,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-135,1995,0,5.1,0,3,270,https://fbref.com/en/players/6613c819/matchlogs/2024/summary/Tomas-Soucek-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,+0.7,5,,,+0.24,4.3,,,,,
502,Uroš Spajić,https://fbref.com/en/players/02ce2030/Uros-Spajic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,31-149,1993,0,0,0,0,3,https://fbref.com/en/players/02ce2030/matchlogs/2024/summary/Uros-Spajic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
503,Andraž Šporar,https://fbref.com/en/players/878f0921/Andraz-Sporar,FW,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,30-135,1994,0,2.9,0,4,338,https://fbref.com/en/players/878f0921/matchlogs/2024/summary/Andraz-Sporar-Match-Logs,85,86.7,3.8,4,85,0,1.00,1,2,-1.9,-0.51,+1.14,2,,,,4.8,0.00,,,,
504,Nicolae Stanciu,https://fbref.com/en/players/e07c2923/Nicolae-Stanciu,"MF,FW",ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-065,1993,0,3.5,0,4,353,https://fbref.com/en/players/e07c2923/matchlogs/2024/summary/Nicolae-Stanciu-Match-Logs,88,98.1,3.9,4,88,,1.00,2,4,-1,-0.25,+12.60,5,-2.2,-0.57,+4.89,5.7,,,,,
505,Jindřich Staněk,https://fbref.com/en/players/eca17cf2/Jindrich-Stanek,GK,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,28-075,1996,0,4.1,0,3,234,https://fbref.com/en/players/eca17cf2/matchlogs/2024/summary/Jindrich-Stanek-Match-Logs,78,86.7,2.6,3,78,,0.33,2,2,-2,-0.77,+0.3,4,-0.77,-0.90,+0.12,3.8,,,,,
506,Josip Stanišić,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,24-100,2000,0,3.1,,2,180,https://fbref.com/en/players/7ed08d5c/matchlogs/2024/summary/Josip-Stanisic-Match-Logs,90,66.7,2.0,2,90,,0.50,2,1,-3,-1.50,+0.2,1,-1.50,-1.08,+0.08,4,,2.9,,,
507,Renato Steffen,https://fbref.com/en/players/dd669209/Renato-Steffen,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,32-251,1991,0,0.0,0.0,1,1,https://fbref.com/en/players/dd669209/matchlogs/2024/summary/Renato-Steffen-Match-Logs,1,4,0.0,1,0.0,0,,0,,,0.00,,,0.2,1,,-0.75,0,-0.34,,3.00,
508,Taras Stepanenko,https://fbref.com/en/players/ee3519f5/Taras-Stepanenko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,34-338,1989,21,0.8,0,2,82,https://fbref.com/en/players/ee3519f5/matchlogs/2024/summary/Taras-Stepanenko-Match-Logs,41,0.9,1,1,3,0,1,1.4,,-3,-0.6,-1.08,,30.4,61,,-3.29,,-3.77,-0.68,0.50,
509,Leonidas Stergiou,https://fbref.com/en/players/08391d76/Leonidas-Stergiou,DF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,22-130,2002,0,,0,3,48,https://fbref.com/en/players/08391d76/matchlogs/2024/summary/Leonidas-Stergiou-Match-Logs,16,0.5,2,3,1,0,1.2,0.7,,+0.62,+0.90,+1,,10.0,16,+0.5,,,,+1.25,2.33,+1.87
510,Petar Stojanović,https://fbref.com/en/players/13b44b02/Petar-Stojanovic,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,28-278,1995,0,2.0,0,4,316,https://fbref.com/en/players/13b44b02/matchlogs/2024/summary/Petar-Stojanovic-Match-Logs,79,81.0,3.5,4,79,0,1.00,1,1,-2.3,-0.65,+0.06,1,,,,4.3,0.00,,,,
511,Nemanja Stojić,https://fbref.com/en/players/8bf49cd8/Nemanja-Stojic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-178,1998,0,0,0,0,3,https://fbref.com/en/players/8bf49cd8/matchlogs/2024/summary/Nemanja-Stojic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
512,John Stones,https://fbref.com/en/players/5eecec3d/John-Stones,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-044,1994,0,5.5,0,6,600,https://fbref.com/en/players/5eecec3d/matchlogs/2024/summary/John-Stones-Match-Logs,100,100.0,6.7,6,100,,2.00,6,7,,+0.04,+3,4,+0.04,+0.2,+0.45,5.3,,,,,
513,Thomas Strakosha,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,GK,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-114,1995,0,2.4,0,3,270,https://fbref.com/en/players/339fe0e8/matchlogs/2024/summary/Thomas-Strakosha-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,,5,-3.2,-1.07,,5.7,,,,,
514,Dávid Strelec,https://fbref.com/en/players/2cb9486d/David-Strelec,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,23-098,2001,2.4,1.00,0,4,182,https://fbref.com/en/players/2cb9486d/matchlogs/2024/summary/David-Strelec-Match-Logs,46,46.7,2.0,2,65,0,2,26,2,,,+0.43,2,+0.74,+0.08,+0.2,2.2,0,,,,
515,Callum Styles,https://fbref.com/en/players/e96d5560/Callum-Styles,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-105,2000,0,,0,1,60,https://fbref.com/en/players/e96d5560/matchlogs/2024/summary/Callum-Styles-Match-Logs,60,0.7,2,1,,0,0.4,0.0,,,+0.72,+0.3,,22.2,60,,,0,,+0.49,3.00,+1.29
516,Luka Sučić,https://fbref.com/en/players/1e1378e1/Luka-Sucic,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-307,2002,36,4.2,0,3,140,https://fbref.com/en/players/1e1378e1/matchlogs/2024/summary/Luka-Sucic-Match-Logs,47,1.6,3,1,1,0,2,1.2,,+3.02,+1.89,+2,,51.9,69,+2.9,,,,+4.75,0.67,+1.29
517,Heorhiy Sudakov,https://fbref.com/en/players/a793f5a8/Heorhiy-Sudakov,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,21-314,2002,0,2.7,0,3,262,https://fbref.com/en/players/a793f5a8/matchlogs/2024/summary/Heorhiy-Sudakov-Match-Logs,87,97.0,2.9,3,87,,1.33,2,2,-2,-0.69,-3.26,4,-0.69,-0.1,-0.03,2.8,,,,,
518,Pavel Šulc,https://fbref.com/en/players/e9b893af/Pavel-Sulc,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-195,2000,0,,0,1,78,https://fbref.com/en/players/e9b893af/matchlogs/2024/summary/Pavel-Sulc-Match-Logs,78,0.9,2,1,1,0,0.2,1,1.1,-0.9,,,,28.9,78,0.00,-1.09,,-1.87,,,+0.94
519,Tomáš Suslov,https://fbref.com/en/players/83fe71b8/Tomas-Suslov,"FW,MF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,22-034,2002,0,,0,4,126,https://fbref.com/en/players/83fe71b8/matchlogs/2024/summary/Tomas-Suslov-Match-Logs,32,1.4,3,4,1.5,0,1.3,,,-3,-0.2,,,32.3,32,,-2.14,0,-2.82,-0.21,1.00,+0.14
520,Adrian Șut,https://fbref.com/en/players/b2d26e0a/Adrian-Sut,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,25-072,1999,0,0,0,0,4,https://fbref.com/en/players/b2d26e0a/matchlogs/2024/summary/Adrian-Sut-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
521,Josip Šutalo,https://fbref.com/en/players/33a6a650/Josip-Sutalo,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,24-134,2000,0,5.7,0,3,270,https://fbref.com/en/players/33a6a650/matchlogs/2024/summary/Josip-Sutalo-Match-Logs,90,100.0,3.0,3,90,,0.67,3,3,-3,-1.00,+1.3,6,,,+0.44,4.4,,,,,
522,Oleksandr Svatok,https://fbref.com/en/players/b70be510/Oleksandr-Svatok,DF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,29-288,1994,0,,0,1,80,https://fbref.com/en/players/b70be510/matchlogs/2024/summary/Oleksandr-Svatok-Match-Logs,80,0.9,2,1,0.7,0,0.5,,,-0.2,,,,29.6,80,,-0.26,0,-0.48,,1.00,+0.95
523,Karol Świderski,https://fbref.com/en/players/41723204/Karol-Swiderski,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-170,1997,0,,0,3,90,https://fbref.com/en/players/41723204/matchlogs/2024/summary/Karol-Swiderski-Match-Logs,30,1.0,1,3,3,0,2.5,1.9,,-2,,+0.6,,33.3,30,,-2.00,,-1.50,+1.74,0.33,+0.56
524,Serhiy Sydorchuk,https://fbref.com/en/players/c71e97ba/Serhiy-Sydorchuk,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,33-070,1991,0,0.0,0,1,6,https://fbref.com/en/players/c71e97ba/matchlogs/2024/summary/Serhiy-Sydorchuk-Match-Logs,6,0.1,2,1,0.0,0,,0.0,,,,,,2.2,6,,-0.46,0,-0.55,,3.00,+0.68
525,Attila Szalai,https://fbref.com/en/players/50ff205b/Attila-Szalai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,26-173,1998,17,2.1,0,2,95,https://fbref.com/en/players/50ff205b/matchlogs/2024/summary/Attila-Szalai-Match-Logs,48,1.1,1,1,2,0,1,2,1.7,,+0.59,+0.3,,35.2,78,,,,,+0.31,1.50,+1.54
526,Péter Szappanos,https://fbref.com/en/players/d15201da/Peter-Szappanos,GK,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,33-240,1990,0,0,0,0,3,https://fbref.com/en/players/d15201da/matchlogs/2024/summary/Peter-Szappanos-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
527,Wojciech Szczęsny,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,GK,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,34-084,1990,0,0.00,,2,180,https://fbref.com/en/players/01b8a2b2/matchlogs/2024/summary/Wojciech-Szczesny-Match-Logs,90,66.7,2.0,2,90,,2.9,2,1,-3,-1.50,+0.80,2,-1.50,-0.7,-0.33,5,,3.6,,,
528,Dominik Szoboszlai,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,MF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,23-260,2000,0,3.7,0,3,270,https://fbref.com/en/players/934e1968/matchlogs/2024/summary/Dominik-Szoboszlai-Match-Logs,90,100.0,3.0,3,90,,1.00,3,2,-3,-1.00,,5,-0.2,-0.07,,3.9,,,,,
529,Damian Szymański,https://fbref.com/en/players/e935dbbf/Damian-Szymanski,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-025,1995,0,0,0,0,3,https://fbref.com/en/players/e935dbbf/matchlogs/2024/summary/Damian-Szymanski-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
530,Sebastian Szymański,https://fbref.com/en/players/bb718263/Sebastian-Szymanski,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-062,1999,0,,0,2,112,https://fbref.com/en/players/bb718263/matchlogs/2024/summary/Sebastian-Szymanski-Match-Logs,56,1.2,1,2,1,,0.5,2,3.1,-1,-2.6,,,41.5,56,,-0.80,,-2.11,-2.59,0.50,+0.34
531,Jemal Tabidze,https://fbref.com/en/players/f2999055/Jemal-Tabidze,DF,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,28-115,1996,0,0,0,0,4,https://fbref.com/en/players/f2999055/matchlogs/2024/summary/Jemal-Tabidze-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
532,Dušan Tadić,https://fbref.com/en/players/2475dcc6/Dusan-Tadic,MF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,35-234,1988,1.6,0.67,0,3,156,https://fbref.com/en/players/2475dcc6/matchlogs/2024/summary/Dusan-Tadic-Match-Logs,52,57.8,1.7,1,81,0,2,38,1,-1,-0.58,+0.26,1.7,-0.58,-0.1,-0.04,,0,,,,
533,Jonathan Tah,https://fbref.com/en/players/bd142efb/Jonathan-Tah,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,28-151,1996,0,5.1,0,4,319,https://fbref.com/en/players/bd142efb/matchlogs/2024/summary/Jonathan-Tah-Match-Logs,80,66.5,3.5,4,80,,1.75,2,7,-0.55,-0.63,+4,3,+0.79,+2.8,+1.13,2.3,,,,,
534,Maksym Talovierov,https://fbref.com/en/players/6a54638e/Maksym-Talovierov,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,24-013,2000,0,0.0,0.0,1,1,https://fbref.com/en/players/6a54638e/matchlogs/2024/summary/Maksym-Talovierov-Match-Logs,1,2,0.0,1,0.0,0,,0,,,,,,0.4,1,,-1.36,0,-1.44,,3.00,+0.67
535,Stefan Târnovanu,https://fbref.com/en/players/f8349128/Stefan-Tarnovanu,GK,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,24-063,2000,0,0,0,0,4,https://fbref.com/en/players/f8349128/matchlogs/2024/summary/Stefan-Tarnovanu-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
536,Greg Taylor,https://fbref.com/en/players/30d75bfb/Greg-Taylor,"DF,MF",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,26-249,1997,0,0,0,0,3,https://fbref.com/en/players/30d75bfb/matchlogs/2024/summary/Greg-Taylor-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
537,Aurélien Tchouaméni,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,24-166,2000,0,6.8,0,5,470,https://fbref.com/en/players/4f255115/matchlogs/2024/summary/Aurelien-Tchouameni-Match-Logs,94,82.5,5.2,5,94,0.00,1.20,4,1,-0.90,-0.51,+2.3,3,,,+0.48,3,,4.4,,,
538,Marc-André ter Stegen,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,GK,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,32-072,1992,0,0,0,0,5,https://fbref.com/en/players/6f51e382/matchlogs/2024/summary/Marc-Andre-ter-Stegen-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
539,Arthur Theate,https://fbref.com/en/players/df8d6029/Arthur-Theate,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,24-047,2000,0,2.3,0,3,256,https://fbref.com/en/players/df8d6029/matchlogs/2024/summary/Arthur-Theate-Match-Logs,85,71.1,2.8,3,85,0.00,1.33,2,1,-0.1,-0.05,,1,-1.12,,,1,0.00,2.4,,,
540,Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,FW,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,26-340,1997,4.7,2.00,0,4,260,https://fbref.com/en/players/6f8cd6d0/matchlogs/2024/summary/Marcus-Thuram-Match-Logs,65,45.6,2.9,3,75,,1,1,35,+0.51,+0.90,+1,2,+2.3,+0.35,+0.35,1,,2.4,,,
541,Youri Tielemans,https://fbref.com/en/players/56f7a928/Youri-Tielemans,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,27-065,1997,17,1.9,0,3,148,https://fbref.com/en/players/56f7a928/matchlogs/2024/summary/Youri-Tielemans-Match-Logs,49,1.6,1,2,1,0,1,1.0,,+0.47,+0.55,+1,,41.1,66,+0.9,,,,+1.03,1.33,+0.61
542,Kieran Tierney,https://fbref.com/en/players/fce2302c/Kieran-Tierney,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,27-036,1997,0,,0,2,136,https://fbref.com/en/players/fce2302c/matchlogs/2024/summary/Kieran-Tierney-Match-Logs,68,1.5,1,2,5,0,0.2,2.8,,-4,-2.6,-1.12,,50.4,68,,-2.65,,-1.98,-1.72,0.50,
543,Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-117,1996,0,,0,2,43,https://fbref.com/en/players/e09f279b/matchlogs/2024/summary/Ivan-Toney-Match-Logs,22,0.5,4,2,2,0,0.5,1.2,,-0.7,,+2,,7.2,22,,-62.98,,-63.11,+4.02,2.00,+4.19
