Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
121,Lasha Dvali,DF,Georgia,28,1995,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
122,Timi Elšnik,MF,Slovenia,25,1998,4.0,0,3,0,0,0.75,0.00,0.00,,19.2,0.00,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3
123,Breel Embolo,FW,Switzerland,26,1997,3.3,2,8,4,50,2.43,1.22,0.25,0.5,13.6,0.00,0.00,0.00,2.1,2.1,0.27,-0.1,-0.1
124,Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,1,12,2,17,3.10,0.52,0.08,0.5,19.1,1.00,0.00,0.00,1.3,1.3,0.11,-0.3,-0.3
125,Eberechi Eze,"DF,MF",England,25,1998,1.1,0,2,0,0,1.76,0.00,0.00,,21.2,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
126,Wout Faes,DF,Belgium,25,1998,4.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
127,Nicolò Fagioli,MF,Italy,22,2001,1.1,0,1,0,0,0.95,0.00,0.00,,28.7,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
128,João Félix,"MF,FW",Portugal,24,1999,1.2,0,4,1,25,3.43,0.86,0.00,0.0,20.0,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
129,Bruno Fernandes,MF,Portugal,29,1994,4.2,1,10,2,20,2.41,0.48,0.10,0.5,22.7,1.00,0.00,0.00,1.2,1.2,0.12,-0.2,-0.2
130,Attila Fiola,DF,Hungary,33,1990,2.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
131,Phil Foden,"FW,MF",England,23,2000,6.9,0,13,4,31,1.90,0.58,0.00,0.0,23.0,2.00,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5
132,Youssouf Fofana,MF,France,25,1999,0.5,0,1,0,0,2.20,0.00,0.00,,26.2,0.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0
133,Michael Folorunsho,FW,Italy,25,1998,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
134,Przemysław Frankowski,DF,Poland,28,1995,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
135,Davide Frattesi,MF,Italy,24,1999,2.1,0,2,1,50,0.97,0.49,0.00,0.0,11.3,0.00,0.00,0.00,0.3,0.3,0.13,-0.3,-0.3
136,Remo Freuler,MF,Switzerland,31,1992,5.1,1,3,1,33,0.59,0.20,0.33,1.0,20.8,0.00,0.00,0.00,0.3,0.3,0.09,0.7,0.7
137,Jeremie Frimpong,FW,Netherlands,23,2000,1.0,0,2,1,50,2.09,1.05,0.00,0.0,15.5,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
138,Chris Führich,FW,Germany,26,1998,0.2,0,1,0,0,4.74,0.00,0.00,,13.4,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
139,Niclas Füllkrug,FW,Germany,30,1993,1.8,2,9,3,33,4.88,1.63,0.22,0.7,11.2,0.00,0.00,0.00,1.0,1.0,0.12,1.0,1.0
140,Mijat Gaćinović,DF,Serbia,28,1995,0.5,0,1,0,0,2.00,0.00,0.00,,16.3,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
141,Cody Gakpo,FW,Netherlands,24,1999,5.8,3,13,8,62,2.24,1.38,0.23,0.4,15.9,0.00,0.00,0.00,1.1,1.1,0.08,1.9,1.9
142,Conor Gallagher,MF,England,23,2000,1.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
143,Dániel Gazdag,MF,Hungary,27,1996,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
144,Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
145,Billy Gilmour,MF,Scotland,22,2001,2.0,0,2,0,0,0.98,0.00,0.00,,20.0,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
146,Olivier Giroud,FW,France,37,1986,0.7,0,2,0,0,3.05,0.00,0.00,,12.0,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
147,Klaus Gjasula,MF,Albania,34,1989,0.2,1,2,1,50,9.47,4.74,0.50,1.0,18.0,0.00,0.00,0.00,0.3,0.3,0.15,0.7,0.7
148,Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,0,4,1,25,0.92,0.23,0.00,0.0,22.1,0.00,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3
